ESTID	GeneID	GOTerm	Description	GOTermDescription
YLR354C	TAL1	GO:0005975	"Transaldolase, enzyme in the non-oxidative pentose phosphate pathway"	Carbohydrate metabolism
YLR377C	FBP1	GO:0005975	"Fructose-1,6-bisphosphatase"	Carbohydrate metabolism
YLR446W	YLR446W	GO:0005975	Putative hexokinase	Carbohydrate metabolism
YML051W	GAL80	GO:0005975	Transcriptional regulator involved in the repression of GAL genes	Carbohydrate metabolism
YMR099C	YMR099C	GO:0005975	Glucose-6-phosphate 1-epimerase (hexose-6-phosphate mutarotase)	Carbohydrate metabolism
YMR105C	PGM2	GO:0005975	Phosphoglucomutase	Carbohydrate metabolism
YMR278W	PRM15	GO:0005975	Phosphoribomutase	Carbohydrate metabolism
YMR280C	CAT8	GO:0005975	Zinc cluster transcriptional activator	Carbohydrate metabolism
YMR305C	SCW10	GO:0005975	Cell wall protein with similarity to glucanases	Carbohydrate metabolism
YMR311C	GLC8	GO:0005975	Regulatory subunit of protein phosphatase 1 (Glc7p)	Carbohydrate metabolism
YNL066W	SUN4	GO:0005975	Cell wall protein related to glucanases	Carbohydrate metabolism
YNL241C	ZWF1	GO:0005975	Glucose-6-phosphate dehydrogenase (G6PD)	Carbohydrate metabolism
YNL249C	MPA43	GO:0005975	Protein of unknown function	Carbohydrate metabolism
YNR001C	CIT1	GO:0005975	Citrate synthase	Carbohydrate metabolism
YNR034W	SOL1	GO:0005975	Protein with a possible role in tRNA export	Carbohydrate metabolism
YNR071C	YNR071C	GO:0005975	Putative aldose 1-epimerase	Carbohydrate metabolism
YOL059W	GPD2	GO:0005975	NAD-dependent glycerol 3-phosphate dehydrogenase	Carbohydrate metabolism
YOL126C	MDH2	GO:0005975	Cytoplasmic malate dehydrogenase	Carbohydrate metabolism
YOR190W	SPR1	GO:0005975	"Sporulation-specific exo-1,3-beta-glucanase"	Carbohydrate metabolism
YPL219W	PCL8	GO:0005975	Cyclin	Carbohydrate metabolism
YPL248C	GAL4	GO:0005975	DNA-binding transcription factor required for activating GAL genes	Carbohydrate metabolism
YPR001W	CIT3	GO:0005975	Dual specificity mitochondrial citrate and methylcitrate synthase	Carbohydrate metabolism
YPR026W	ATH1	GO:0005975	Acid trehalase required for utilization of extracellular trehalose	Carbohydrate metabolism
YPR159W	KRE6	GO:0005975	Type II integral membrane protein	Carbohydrate metabolism
YPR160W	GPH1	GO:0005975	Glycogen phosphorylase required for the mobilization of glycogen	Carbohydrate metabolism
YGL021W	ALK1	GO:0000278	Protein kinase	Cell cycle
YGL033W	HOP2	GO:0051321	Meiosis-specific protein that localizes to chromosomes	Cell cycle
YGL045W	RIM8	GO:0051321	Protein involved in proteolytic activation of Rim101p	Cell cycle
YGL061C	DUO1	GO:0000278	Essential subunit of the Dam1 complex (aka DASH complex)	Cell cycle
YGL175C	SAE2	GO:0051321	Endonuclease required for telomere elongation	Cell cycle
YGL190C	CDC55	GO:0000278	Regulatory subunit B of protein phosphatase 2A (PP2A)	Cell cycle
YGL192W	IME4	GO:0051321	mRNA N6-adenosine methyltransferase required for entry into meiosis	Cell cycle
YGL197W	MDS3	GO:0051321	Putative component of the TOR regulatory pathway	Cell cycle
YGL213C	SKI8	GO:0051321	Ski complex component and WD-repeat protein	Cell cycle
YGL249W	ZIP2	GO:0051321	Meiosis-specific protein	Cell cycle
YGL250W	RMR1	GO:0051321	Protein required for meiotic recombination and gene conversion	Cell cycle
YGL251C	HFM1	GO:0051321	Meiosis specific DNA helicase	Cell cycle
YGR044C	RME1	GO:0051321	Zinc finger protein involved in control of meiosis	Cell cycle
YGR108W	CLB1	GO:0000278	B-type cyclin involved in cell cycle progression	Cell cycle
YGR109C	CLB6	GO:0000278	B-type cyclin involved in DNA replication during S phase	Cell cycle
YGR179C	OKP1	GO:0051321	Outer kinetochore protein required for accurate chromosome segregation	Cell cycle
YGR225W	AMA1	GO:0051321	Activator of meiotic anaphase promoting complex (APC/C)	Cell cycle
YGR230W	BNS1	GO:0051321	Protein of unknown function	Cell cycle
YHL023C	NPR3	GO:0051321	Subunit of the Iml1p/SEACIT complex	Cell cycle
YHL024W	RIM4	GO:0051321	Putative RNA-binding protein	Cell cycle
YHL027W	RIM101	GO:0051321	Cys2His2 zinc-finger transcriptional repressor	Cell cycle
YHR014W	SPO13	GO:0051321	Meiotic regulator	Cell cycle
YHR079C-A	SAE3	GO:0051321	Meiosis-specific protein involved in meiotic recombination	Cell cycle
YHR090C	YNG2	GO:0051321	"Subunit of NuA4, an essential histone acetyltransferase complex"	Cell cycle
YHR124W	NDT80	GO:0051321	Meiosis-specific transcription factor	Cell cycle
YHR152W	SPO12	GO:0000278	Nucleolar protein of unknown function	Cell cycle
YHR152W	SPO12	GO:0051321	Nucleolar protein of unknown function	Cell cycle
YHR153C	SPO16	GO:0051321	Meiosis-specific protein involved in synaptonemal complex assembly	Cell cycle
YHR157W	REC104	GO:0051321	Protein involved in early stages of meiotic recombination	Cell cycle
YHR172W	SPC97	GO:0051321	Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex	Cell cycle
YHR184W	SSP1	GO:0051321	Protein involved in the control of meiotic nuclear division	Cell cycle
YIL072W	HOP1	GO:0051321	Meiosis-specific protein required for chromosome synapsis	Cell cycle
YIL073C	SPO22	GO:0051321	Meiosis-specific protein essential for chromosome synapsis	Cell cycle
YIL126W	STH1	GO:0051321	ATPase component of the RSC chromatin remodeling complex	Cell cycle
YIL132C	CSM2	GO:0051321	Component of Shu complex (aka PCSS complex)	Cell cycle
YIR026C	YVH1	GO:0051321	Dual specificity protein phosphatase	Cell cycle
YJL106W	IME2	GO:0051321	Serine/threonine protein kinase involved in activation of meiosis	Cell cycle
YJL146W	IDS2	GO:0051321	Protein involved in modulation of Ime2p activity during meiosis	Cell cycle
YJL187C	SWE1	GO:0051321	Protein kinase that regulates the G2/M transition	Cell cycle
YJL194W	CDC6	GO:0000278	Essential ATP-binding protein required for DNA replication	Cell cycle
YJR021C	REC107	GO:0051321	Protein involved in early stages of meiotic recombination	Cell cycle
YJR066W	TOR1	GO:0051321	PIK-related protein kinase and rapamycin target	Cell cycle
YJR094C	IME1	GO:0051321	Master regulator of meiosis that is active only during meiotic events	Cell cycle
YJR135C	MCM22	GO:0051321	Outer kinetochore protein and component of the Ctf3 subcomplex	Cell cycle
YKR001C	VPS1	GO:0051321	Dynamin-like GTPase required for vacuolar sorting	Cell cycle
YKR029C	SET3	GO:0051321	Defining member of the SET3 histone deacetylase complex	Cell cycle
YKR031C	SPO14	GO:0051321	Phospholipase D	Cell cycle
YKR083C	DAD2	GO:0000278	Essential subunit of the Dam1 complex (aka DASH complex)	Cell cycle
YLR210W	CLB4	GO:0000278	B-type cyclin involved in cell cycle progression	Cell cycle
YLR212C	TUB4	GO:0000278	Gamma-tubulin	Cell cycle
YLR219W	MSC3	GO:0051321	Protein of unknown function	Cell cycle
YLR227C	ADY4	GO:0051321	Structural component of the meiotic outer plaque	Cell cycle
YLR263W	RED1	GO:0051321	Protein component of the synaptonemal complex axial elements	Cell cycle
YLR272C	YCS4	GO:0000278	Subunit of the condensin complex	Cell cycle
YLR315W	NKP2	GO:0051321	Central kinetochore protein and subunit of the Ctf19 complex	Cell cycle
YLR329W	REC102	GO:0051321	Protein involved in early stages of meiotic recombination	Cell cycle
YLR381W	CTF3	GO:0051321	Outer kinetochore protein that forms a complex with Mcm16p and Mcm22p	Cell cycle
YLR394W	CST9	GO:0051321	SUMO E3 ligase	Cell cycle
YLR442C	SIR3	GO:0000278	Silencing protein	Cell cycle
YML065W	ORC1	GO:0000278	Largest subunit of the origin recognition complex	Cell cycle
YML085C	TUB1	GO:0000278	Alpha-tubulin	Cell cycle
YML124C	TUB3	GO:0000278	Alpha-tubulin	Cell cycle
YMR048W	CSM3	GO:0051321	Replication fork associated factor	Cell cycle
YMR076C	PDS5	GO:0051321	Cohesion maintenance factor	Cell cycle
YMR198W	CIK1	GO:0051321	Kinesin-associated protein	Cell cycle
YMR199W	CLN1	GO:0000278	G1 cyclin involved in regulation of the cell cycle	Cell cycle
YMR224C	MRE11	GO:0051321	Nuclease subunit of the MRX complex with Rad50p and Xrs2p	Cell cycle
YNL001W	DOM34	GO:0051321	Protein that facilitates ribosomal subunit dissociation	Cell cycle
YNL012W	SPO1	GO:0051321	Meiosis-specific prospore protein	Cell cycle
YNL126W	SPC98	GO:0051321	Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex	Cell cycle
YNL196C	SLZ1	GO:0051321	Sporulation-specific protein with a leucine zipper motif	Cell cycle
YNL210W	MER1	GO:0051321	mRNA-binding protein required for meiosis-specific mRNA splicing	Cell cycle
YNL225C	CNM67	GO:0051321	Component of the spindle pole body outer plaque	Cell cycle
YNL250W	RAD50	GO:0051321	Subunit of MRX complex with Mre11p and Xrs2p	Cell cycle
YNL258C	DSL1	GO:0000278	Peripheral membrane protein needed for Golgi-to-ER retrograde traffic	Cell cycle
YNL262W	POL2	GO:0000278	Catalytic subunit of DNA polymerase (II) epsilon	Cell cycle
YNL273W	TOF1	GO:0051321	Subunit of a replication-pausing checkpoint complex	Cell cycle
YNL307C	MCK1	GO:0051321	Dual-specificity ser/thr and tyrosine protein kinase	Cell cycle
YOL091W	SPO21	GO:0051321	Component of the meiotic outer plaque of the spindle pole body	Cell cycle
YOL104C	NDJ1	GO:0051321	Protein that regulates meiotic SPB cohesion and telomere clustering	Cell cycle
YOR073W	SGO1	GO:0051321	Component of the spindle checkpoint	Cell cycle
YOR177C	MPC54	GO:0051321	Component of the meiotic outer plaque	Cell cycle
YOR178C	GAC1	GO:0051321	Regulatory subunit for Glc7p type-1 protein phosphatase (PP1)	Cell cycle
YOR195W	SLK19	GO:0051321	Kinetochore-associated protein	Cell cycle
YOR198C	BFR1	GO:0051321	Component of mRNP complexes associated with polyribosomes	Cell cycle
YOR217W	RFC1	GO:0000278	Subunit of heteropentameric Replication factor C (RF-C)	Cell cycle
YOR229W	WTM2	GO:0051321	Transcriptional modulator	Cell cycle
YOR230W	WTM1	GO:0051321	Transcriptional modulator	Cell cycle
YOR313C	SPS4	GO:0051321	Protein whose expression is induced during sporulation	Cell cycle
YOR315W	SFG1	GO:0000278	Nuclear protein putative transcription factor	Cell cycle
YOR351C	MEK1	GO:0051321	Meiosis-specific serine/threonine protein kinase	Cell cycle
YOR354C	MSC6	GO:0051321	Multicopy suppressor of HER2 involved in mitochondrial translation	Cell cycle
YOR373W	NUD1	GO:0051321	Component of the spindle pole body outer plaque	Cell cycle
YPL018W	CTF19	GO:0051321	"Outer kinetochore protein, needed for accurate chromosome segregation"	Cell cycle
YPL024W	RMI1	GO:0051321	Subunit of the RecQ (Sgs1p) - Topo III (Top3p) complex	Cell cycle
YPL042C	SSN3	GO:0051321	Cyclin-dependent protein kinase	Cell cycle
YPL130W	SPO19	GO:0051321	Meiosis-specific prospore protein	Cell cycle
YPL139C	UME1	GO:0051321	Component of both the Rpd3S and Rpd3L histone deacetylase complexes	Cell cycle
YPL157W	TGS1	GO:0051321	"Trimethyl guanosine synthase, conserved nucleolar methyl transferase"	Cell cycle
YPL194W	DDC1	GO:0051321	DNA damage checkpoint protein	Cell cycle
YPL256C	CLN2	GO:0000278	G1 cyclin involved in regulation of the cell cycle	Cell cycle
YPR007C	REC8	GO:0051321	Meiosis-specific component of the sister chromatid cohesion complex	Cell cycle
YPR046W	MCM16	GO:0051321	Component of the Ctf19 complex and the COMA subcomplex	Cell cycle
YPR119W	CLB2	GO:0000278	B-type cyclin involved in cell cycle progression	Cell cycle
YPR120C	CLB5	GO:0000278	B-type cyclin involved in DNA replication during S phase	Cell cycle
YPR135W	CTF4	GO:0000278	Chromatin-associated protein	Cell cycle
YPR141C	KAR3	GO:0000278	Minus-end-directed microtubule motor	Cell cycle
YPR141C	KAR3	GO:0051321	Minus-end-directed microtubule motor	Cell cycle
YFR034C	PHO4	GO:0003677	Basic helix-loop-helix (bHLH) transcription factor of the myc-family	DNA binding
YFR037C	RSC8	GO:0003677	Component of the RSC chromatin remodeling complex	DNA binding
YFR038W	IRC5	GO:0003677	Putative ATPase containing the DEAD/H helicase-related sequence motif	DNA binding
YGL013C	PDR1	GO:0003677	Transcription factor that regulates the pleiotropic drug response	DNA binding
YGL033W	HOP2	GO:0003677	Meiosis-specific protein that localizes to chromosomes	DNA binding
YGL035C	MIG1	GO:0003677	Transcription factor involved in glucose repression	DNA binding
YGL043W	DST1	GO:0003677	General transcription elongation factor TFIIS	DNA binding
YGL073W	HSF1	GO:0003677	Trimeric heat shock transcription factor	DNA binding
YGL096W	TOS8	GO:0003677	Homeodomain-containing protein and putative transcription factor	DNA binding
YGL131C	SNT2	GO:0003677	"Subunit of Snt2C complex, RING finger ubiquitin ligase (E3)"	DNA binding
YGL150C	INO80	GO:0003677	ATPase and nucleosome spacing factor	DNA binding
YGL163C	RAD54	GO:0003677	DNA-dependent ATPase that stimulates strand exchange	DNA binding
YGL166W	CUP2	GO:0003677	Copper-binding transcription factor	DNA binding
YGL169W	SUA5	GO:0003677	Protein involved in threonylcarbamoyl adenosine biosynthesis	DNA binding
YGL175C	SAE2	GO:0003677	Endonuclease required for telomere elongation	DNA binding
YGL201C	MCM6	GO:0003677	Protein involved in DNA replication	DNA binding
YGL209W	MIG2	GO:0003677	Zinc finger transcriptional repressor	DNA binding
YGL237C	HAP2	GO:0003677	Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex	DNA binding
YGL244W	RTF1	GO:0003677	Subunit of RNAPII-associated chromatin remodeling Paf1 complex	DNA binding
YGL249W	ZIP2	GO:0003677	Meiosis-specific protein	DNA binding
YGL251C	HFM1	GO:0003677	Meiosis specific DNA helicase	DNA binding
YGL254W	FZF1	GO:0003677	Transcription factor involved in sulfite metabolism	DNA binding
YGR002C	SWC4	GO:0003677	Component of the Swr1p complex that incorporates Htz1p into chromatin	DNA binding
YGR005C	TFG2	GO:0003677	TFIIF (Transcription Factor II) middle subunit	DNA binding
YGR044C	RME1	GO:0003677	Zinc finger protein involved in control of meiosis	DNA binding
YGR047C	TFC4	GO:0003677	Subunit of RNA polymerase III transcription initiation factor complex	DNA binding
YGR067C	YGR067C	GO:0003677	Putative protein of unknown function	DNA binding
YGR071C	ENV11	GO:0003677	Protein proposed to be involved in vacuolar functions	DNA binding
YGR099W	TEL2	GO:0003677	"Subunit of the ASTRA complex, involved in chromatin remodeling"	DNA binding
YGR116W	SPT6	GO:0003677	Nucleosome remodeling protein	DNA binding
YGR140W	CBF2	GO:0003677	Essential kinetochore protein	DNA binding
YGR159C	NSR1	GO:0003677	Nucleolar protein that binds nuclear localization sequences	DNA binding
YGR186W	TFG1	GO:0003677	TFIIF (Transcription Factor II) largest subunit	DNA binding
YGR229C	SMI1	GO:0003677	Protein involved in the regulation of cell wall synthesis	DNA binding
YGR246C	BRF1	GO:0003677	TFIIIB B-related factor	DNA binding
YGR249W	MGA1	GO:0003677	Protein similar to heat shock transcription factor	DNA binding
YGR258C	RAD2	GO:0003677	Single-stranded DNA endonuclease	DNA binding
YGR285C	ZUO1	GO:0003677	Ribosome-associated chaperone	DNA binding
YGR288W	MAL13	GO:0003677	MAL-activator protein	DNA binding
YHL009C	YAP3	GO:0003677	Basic leucine zipper (bZIP) transcription factor	DNA binding
YHL020C	OPI1	GO:0003677	Transcriptional regulator of a variety of genes	DNA binding
YHL027W	RIM101	GO:0003677	Cys2His2 zinc-finger transcriptional repressor	DNA binding
YHR006W	STP2	GO:0003677	Transcription factor	DNA binding
YHR031C	RRM3	GO:0003677	DNA helicase involved in rDNA replication and Ty1 transposition	DNA binding
YHR084W	STE12	GO:0003677	Transcription factor that is activated by a MAPK signaling cascade	DNA binding
YHR118C	ORC6	GO:0003677	Subunit of the origin recognition complex (ORC)	DNA binding
YHR120W	MSH1	GO:0003677	DNA-binding protein of the mitochondria	DNA binding
YHR124W	NDT80	GO:0003677	Meiosis-specific transcription factor	DNA binding
YHR143W-A	RPC10	GO:0003677	"RNA polymerase subunit ABC10-alpha, found in RNA pol I, II, and III"	DNA binding
YHR146W	CRP1	GO:0003677	Protein that binds to cruciform DNA structures	DNA binding
YHR164C	DNA2	GO:0003677	Tripartite DNA replication factor	DNA binding
YHR177W	ROF1	GO:0003677	Putative transcription factor containing a WOPR domain	DNA binding
YHR178W	STB5	GO:0003677	Transcription factor	DNA binding
YHR191C	CTF8	GO:0003677	Subunit of a complex with Ctf18p	DNA binding
YHR206W	SKN7	GO:0003677	Nuclear response regulator and transcription factor	DNA binding
YIL021W	RPB3	GO:0003677	RNA polymerase II third largest subunit B44	DNA binding
YIL036W	CST6	GO:0003677	Basic leucine zipper (bZIP) transcription factor from ATF/CREB family	DNA binding
YIL056W	VHR1	GO:0003677	Transcriptional activator	DNA binding
YIL072W	HOP1	GO:0003677	Meiosis-specific protein required for chromosome synapsis	DNA binding
YIL101C	XBP1	GO:0003677	Transcriptional repressor	DNA binding
YIL119C	RPI1	GO:0003677	"Transcription factor, allelic differences between S288C and Sigma1278b"	DNA binding
YIL130W	ASG1	GO:0003677	Zinc cluster protein proposed to be a transcriptional regulator	DNA binding
YIL131C	FKH1	GO:0003677	Forkhead family transcription factor	DNA binding
YIL143C	SSL2	GO:0003677	Component of RNA polymerase transcription factor TFIIH holoenzyme	DNA binding
YIR002C	MPH1	GO:0003677	3'-5' DNA helicase involved in error-free bypass of DNA lesions	DNA binding
YIR013C	GAT4	GO:0003677	Protein containing GATA family zinc finger motifs	DNA binding
YIR017C	MET28	GO:0003677	bZIP transcriptional activator in the Cbf1p-Met4p-Met28p complex	DNA binding
YIR018W	YAP5	GO:0003677	Basic leucine zipper (bZIP) iron-sensing transcription factor	DNA binding
YIR023W	DAL81	GO:0003677	Positive regulator of genes in multiple nitrogen degradation pathways	DNA binding
YJL025W	RRN7	GO:0003677	Component of the core factor (CF) rDNA transcription factor complex	DNA binding
YJL056C	ZAP1	GO:0003677	Zinc-regulated transcription factor	DNA binding
YJL089W	SIP4	GO:0003677	C6 zinc cluster transcriptional activator	DNA binding
YJL092W	SRS2	GO:0003677	DNA helicase and DNA-dependent ATPase	DNA binding
YJL103C	GSM1	GO:0003677	Putative zinc cluster protein of unknown function	DNA binding
YJL110C	GZF3	GO:0003677	GATA zinc finger protein	DNA binding
YJL173C	RFA3	GO:0003677	Subunit of heterotrimeric Replication Protein A (RPA)	DNA binding
YJL176C	SWI3	GO:0003677	Subunit of the SWI/SNF chromatin remodeling complex	DNA binding
YJL206C	YJL206C	GO:0003677	Putative protein of unknown function	DNA binding
YJR006W	POL31	GO:0003677	Subunit of DNA polymerase delta (polymerase III)	DNA binding
YJR035W	RAD26	GO:0003677	Protein involved in transcription-coupled nucleotide excision repair	DNA binding
YJR046W	TAH11	GO:0003677	DNA replication licensing factor	DNA binding
YJR060W	CBF1	GO:0003677	Basic helix-loop-helix (bHLH) protein	DNA binding
YJR068W	RFC2	GO:0003677	Subunit of heteropentameric Replication factor C (RF-C)	DNA binding
YJR127C	RSF2	GO:0003677	Zinc-finger protein	DNA binding
YJR140C	HIR3	GO:0003677	Subunit of the HIR complex	DNA binding
YJR144W	MGM101	GO:0003677	Protein with a role in mitochondrial DNA recombinational repair	DNA binding
YJR147W	HMS2	GO:0003677	Protein with similarity to heat shock transcription factors	DNA binding
YKL015W	PUT3	GO:0003677	Transcriptional activator	DNA binding
YKL017C	HCS1	GO:0003677	Hexameric DNA polymerase alpha-associated DNA helicase A	DNA binding
YKL020C	SPT23	GO:0003677	ER membrane protein involved in regulation of OLE1 transcription	DNA binding
YKL032C	IXR1	GO:0003677	Transcriptional repressor that regulates hypoxic genes during normoxia	DNA binding
YKL038W	RGT1	GO:0003677	Glucose-responsive transcription factor	DNA binding
YKL043W	PHD1	GO:0003677	Transcriptional activator that enhances pseudohyphal growth	DNA binding
YKL045W	PRI2	GO:0003677	Subunit of DNA primase	DNA binding
YKL049C	CSE4	GO:0003677	Centromeric histone H3-like protein	DNA binding
YKL054C	DEF1	GO:0003677	RNAPII degradation factor	DNA binding
YKL062W	MSN4	GO:0003677	Stress-responsive transcriptional activator	DNA binding
YKL082C	RRP14	GO:0003677	"Essential protein, constituent of 66S pre-ribosomal particles"	DNA binding
YKL089W	MIF2	GO:0003677	Protein required for structural integrity of elongating spindles	DNA binding
YKL109W	HAP4	GO:0003677	Transcription factor	DNA binding
YKL112W	ABF1	GO:0003677	DNA binding protein with possible chromatin-reorganizing activity	DNA binding
YKL113C	RAD27	GO:0003677	"5' to 3' exonuclease, 5' flap endonuclease"	DNA binding
YKL114C	APN1	GO:0003677	Major apurinic/apyrimidinic endonuclease	DNA binding
YKL144C	RPC25	GO:0003677	RNA polymerase III subunit C25	DNA binding
YKL185W	ASH1	GO:0003677	Component of the Rpd3L histone deacetylase complex	DNA binding
YKL214C	YRA2	GO:0003677	Member of the REF (RNA and export factor binding proteins) family	DNA binding
YKL222C	YKL222C	GO:0003677	Protein of unknown function	DNA binding
YKR034W	DAL80	GO:0003677	Negative regulator of genes in multiple nitrogen degradation pathways	DNA binding
YKR048C	NAP1	GO:0003677	Histone chaperone	DNA binding
YKR062W	TFA2	GO:0003677	TFIIE small subunit	DNA binding
YKR064W	OAF3	GO:0003677	Putative transcriptional repressor with Zn(2)-Cys(6) finger	DNA binding
YKR099W	BAS1	GO:0003677	Myb-related transcription factor	DNA binding
YLL004W	ORC3	GO:0003677	Subunit of the origin recognition complex (ORC)	DNA binding
YLL054C	YLL054C	GO:0003677	Putative protein of unknown function with similarity to Pip2p	DNA binding
YLR014C	PPR1	GO:0003677	Zinc finger transcription factor	DNA binding
YLR032W	RAD5	GO:0003677	DNA helicase/Ubiquitin ligase	DNA binding
YLR095C	IOC2	GO:0003677	Subunit of the Isw1b complex	DNA binding
YLR098C	CHA4	GO:0003677	DNA binding transcriptional activator	DNA binding
YLR131C	ACE2	GO:0003677	Transcription factor required for septum destruction after cytokinesis	DNA binding
YLR150W	STM1	GO:0003677	Protein required for optimal translation under nutrient stress	DNA binding
YLR175W	CBF5	GO:0003677	Pseudouridine synthase catalytic subunit of box H/ACA snoRNPs	DNA binding
YLR176C	RFX1	GO:0003677	Major transcriptional repressor of DNA-damage-regulated genes	DNA binding
YLR182W	SWI6	GO:0003677	Transcription cofactor	DNA binding
YLR228C	ECM22	GO:0003677	Sterol regulatory element binding protein	DNA binding
YLR233C	EST1	GO:0003677	TLC1 RNA-associated factor involved in telomere length regulation	DNA binding
YLR234W	TOP3	GO:0003677	DNA Topoisomerase III	DNA binding
YLR256W	HAP1	GO:0003677	Zinc finger transcription factor	DNA binding
YLR266C	PDR8	GO:0003677	Transcription factor	DNA binding
YLR274W	MCM5	GO:0003677	Component of the Mcm2-7 hexameric helicase complex	DNA binding
YLR278C	YLR278C	GO:0003677	Zinc-cluster protein	DNA binding
YLR288C	MEC3	GO:0003677	DNA damage and meiotic pachytene checkpoint protein	DNA binding
YLR318W	EST2	GO:0003677	Reverse transcriptase subunit of the telomerase holoenzyme	DNA binding
YLR323C	CWC24	GO:0003677	General splicing factor	DNA binding
YLR373C	VID22	GO:0003677	Glycosylated integral membrane protein localized to plasma membrane	DNA binding
YLR398C	SKI2	GO:0003677	Ski complex component and putative RNA helicase	DNA binding
YLR403W	SFP1	GO:0003677	Regulates transcription of ribosomal protein and biogenesis genes	DNA binding
YLR442C	SIR3	GO:0003677	Silencing protein	DNA binding
YLR451W	LEU3	GO:0003677	"Zinc-knuckle transcription factor, repressor and activator"	DNA binding
YML007W	YAP1	GO:0003677	Basic leucine zipper (bZIP) transcription factor	DNA binding
YML010W	SPT5	GO:0003677	Spt4p/5p (DSIF) transcription elongation factor complex subunit	DNA binding
YML027W	YOX1	GO:0003677	Homeobox transcriptional repressor	DNA binding
YML051W	GAL80	GO:0003677	Transcriptional regulator involved in the repression of GAL genes	DNA binding
YML061C	PIF1	GO:0003677	"DNA helicase, potent G-quadruplex DNA binder/unwinder"	DNA binding
YML065W	ORC1	GO:0003677	Largest subunit of the origin recognition complex	DNA binding
YML069W	POB3	GO:0003677	Subunit of the heterodimeric FACT complex (Spt16p-Pob3p)	DNA binding
YML076C	WAR1	GO:0003677	Homodimeric Zn2Cys6 zinc finger transcription factor	DNA binding
YML081W	TDA9	GO:0003677	Transcription factor that regulates acetate production	DNA binding
YML095C	RAD10	GO:0003677	Single-stranded DNA endonuclease (with Rad1p)	DNA binding
