ESTID	GeneID	GOTerm	Description	GOTermDescription
YDR216W	ADR1	GO:0003677	Carbon source-responsive zinc-finger transcription factor	DNA binding
YDR224C	HTB1	GO:0003677	Histone H2B	DNA binding
YDR227W	SIR4	GO:0003677	SIR protein involved in assembly of silent chromatin domains	DNA binding
YDR253C	MET32	GO:0003677	Zinc-finger DNA-binding transcription factor	DNA binding
YDR259C	YAP6	GO:0003677	Basic leucine zipper (bZIP) transcription factor	DNA binding
YDR263C	DIN7	GO:0003677	Mitochondrial nuclease functioning in DNA repair and replication	DNA binding
YDR288W	NSE3	GO:0003677	Component of the SMC5-SMC6 complex	DNA binding
YDR289C	RTT103	GO:0003677	Protein involved in transcription termination by RNA polymerase II	DNA binding
YDR291W	HRQ1	GO:0003677	3'-5' DNA helicase that has DNA strand annealing activity	DNA binding
YDR295C	HDA2	GO:0003677	Subunit of the HDA1 histone deacetylase complex	DNA binding
YDR296W	MHR1	GO:0003677	Mitochondrial ribosomal protein of the large subunit	DNA binding
YDR303C	RSC3	GO:0003677	Component of the RSC chromatin remodeling complex	DNA binding
YDR310C	SUM1	GO:0003677	Transcriptional repressor that regulates middle-sporulation genes	DNA binding
YDR314C	RAD34	GO:0003677	Protein involved in nucleotide excision repair (NER)	DNA binding
YDR328C	SKP1	GO:0003677	Evolutionarily conserved kinetochore protein	DNA binding
YDR332W	IRC3	GO:0003677	Double-stranded DNA-dependent helicase of the DExH/D-box family	DNA binding
YDR334W	SWR1	GO:0003677	Swi2/Snf2-related ATPase	DNA binding
YDR359C	EAF1	GO:0003677	Component of the NuA4 histone acetyltransferase complex	DNA binding
YDR362C	TFC6	GO:0003677	Subunit of RNA polymerase III transcription initiation factor complex	DNA binding
YDR369C	XRS2	GO:0003677	Protein required for DNA repair	DNA binding
YDR386W	MUS81	GO:0003677	Subunit of structure-specific Mms4p-Mus81p endonuclease	DNA binding
YDR392W	SPT3	GO:0003677	Subunit of the SAGA and SAGA-like transcriptional regulatory complexes	DNA binding
YDR419W	RAD30	GO:0003677	DNA polymerase eta	DNA binding
YDR421W	ARO80	GO:0003677	Zinc finger transcriptional activator of the Zn2Cys6 family	DNA binding
YDR423C	CAD1	GO:0003677	AP-1-like basic leucine zipper (bZIP) transcriptional activator	DNA binding
YDR440W	DOT1	GO:0003677	Nucleosomal histone H3-Lys79 methylase	DNA binding
YDR448W	ADA2	GO:0003677	Transcription coactivator	DNA binding
YDR451C	YHP1	GO:0003677	Homeobox transcriptional repressor	DNA binding
YDR463W	STP1	GO:0003677	Transcription factor	DNA binding
YDR520C	URC2	GO:0003677	Putative Zn(II)2Cys6 motif containing transcription factor	DNA binding
YEL007W	MIT1	GO:0003677	Transcriptional regulator of pseudohyphal growth	DNA binding
YEL009C	GCN4	GO:0003677	bZIP transcriptional activator of amino acid biosynthetic genes	DNA binding
YEL032W	MCM3	GO:0003677	Protein involved in DNA replication	DNA binding
YEL055C	POL5	GO:0003677	DNA Polymerase phi	DNA binding
YER028C	MIG3	GO:0003677	Transcriptional regulator	DNA binding
YER040W	GLN3	GO:0003677	Transcriptional activator of genes regulated by nitrogen catabolite r	DNA binding
YER041W	YEN1	GO:0003677	Holliday junction resolvase	DNA binding
YER045C	ACA1	GO:0003677	ATF/CREB family basic leucine zipper (bZIP) transcription factor	DNA binding
YER064C	VHR2	GO:0003677	Non-essential nuclear protein	DNA binding
YER088C	DOT6	GO:0003677	Protein involved in rRNA and ribosome biogenesis	DNA binding
YER095W	RAD51	GO:0003677	Strand exchange protein	DNA binding
YER105C	NUP157	GO:0003677	Subunit of the inner ring of the nuclear pore complex (NPC)	DNA binding
YER111C	SWI4	GO:0003677	DNA binding component of the SBF complex (Swi4p-Swi6p)	DNA binding
YER130C	COM2	GO:0003677	Transcription factor that binds IME1 Upstream Activation Signal (UAS)	DNA binding
YER148W	SPT15	GO:0003677	TATA-binding protein (TBP)	DNA binding
YER161C	SPT2	GO:0003677	Protein involved in negative regulation of transcription	DNA binding
YER162C	RAD4	GO:0003677	Protein that recognizes and binds damaged DNA (with Rad23p) during NER	DNA binding
YER164W	CHD1	GO:0003677	Chromatin remodeler that regulates various aspects of transcription	DNA binding
YER169W	RPH1	GO:0003677	JmjC domain-containing histone demethylase	DNA binding
YER171W	RAD3	GO:0003677	5' to 3' DNA helicase	DNA binding
YER176W	ECM32	GO:0003677	DNA dependent ATPase/DNA helicase	DNA binding
YER184C	TOG1	GO:0003677	Transcriptional activator of oleate genes	DNA binding
YFL003C	MSH4	GO:0003677	Protein involved in meiotic recombination	DNA binding
YFL021W	GAT1	GO:0003677	Transcriptional activator of nitrogen catabolite repression genes	DNA binding
YFL031W	HAC1	GO:0003677	Basic leucine zipper (bZIP) transcription factor (ATF/CREB1 homolog)	DNA binding
YFL036W	RPO41	GO:0003677	Mitochondrial RNA polymerase	DNA binding
YFL052W	ZNF1	GO:0003677	Zinc cluster transcription factor that regulates respiratory growth	DNA binding
YFR013W	IOC3	GO:0003677	Subunit of the Isw1a complex	DNA binding
Q0085	ATP6	GO:0006811	Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase	Ion transport
YBL099W	ATP1	GO:0006811	Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase	Ion transport
YBR039W	ATP3	GO:0006811	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase	Ion transport
YBR054W	YRO2	GO:0006811	Protein with a putative role in response to acid stress	Ion transport
YBR127C	VMA2	GO:0006811	Subunit B of V1 peripheral membrane domain of vacuolar H+-ATPase	Ion transport
YBR207W	FTH1	GO:0006811	Putative high affinity iron transporter	Ion transport
YBR235W	VHC1	GO:0006811	Vacuolar membrane cation-chloride cotransporter (CCC)	Ion transport
YBR295W	PCA1	GO:0006811	Cadmium transporting P-type ATPase	Ion transport
YCR010C	ADY2	GO:0006811	Acetate transporter required for normal sporulation	Ion transport
YCR021C	HSP30	GO:0006811	Negative regulator of the H(+)-ATPase Pma1p	Ion transport
YDL004W	ATP16	GO:0006811	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase	Ion transport
YDL120W	YFH1	GO:0006811	Mitochondrial matrix iron chaperone	Ion transport
YDL128W	VCX1	GO:0006811	Vacuolar membrane antiporter with Ca2+/H+ and K+/H+ exchange activity	Ion transport
YDL185W	VMA1	GO:0006811	Subunit A of the V1 peripheral membrane domain of V-ATPase	Ion transport
YDL206W	YDL206W	GO:0006811	Putative protein of unknown function	Ion transport
YDR033W	MRH1	GO:0006811	Protein that localizes primarily to the plasma membrane	Ion transport
YDR038C	ENA5	GO:0006811	Protein with similarity to P-type ATPase sodium pumps	Ion transport
YDR039C	ENA2	GO:0006811	P-type ATPase sodium pump	Ion transport
YDR107C	TMN2	GO:0006811	Protein with a role in cellular adhesion and filamentous growth	Ion transport
YDR205W	MSC2	GO:0006811	Endoplasmic reticulum zinc transporter	Ion transport
YDR270W	CCC2	GO:0006811	Cu(+2)-transporting P-type ATPase	Ion transport
YDR298C	ATP5	GO:0006811	Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase	Ion transport
YDR322C-A	TIM11	GO:0006811	Subunit e of mitochondrial F1F0-ATPase	Ion transport
YDR377W	ATP17	GO:0006811	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase	Ion transport
YDR384C	ATO3	GO:0006811	"Plasma membrane protein, putative ammonium transporter"	Ion transport
YDR456W	NHX1	GO:0006811	Na+/H+ and K+/H+ exchanger	Ion transport
YDR506C	GMC1	GO:0006811	Protein involved in meiotic progression	Ion transport
YDR534C	FIT1	GO:0006811	Mannoprotein that is incorporated into the cell wall	Ion transport
YEL027W	VMA3	GO:0006811	Proteolipid subunit c of the V0 domain of vacuolar H(+)-ATPase	Ion transport
YEL051W	VMA8	GO:0006811	Subunit D of the V1 peripheral membrane domain of V-ATPase	Ion transport
YEL065W	SIT1	GO:0006811	Ferrioxamine B transporter	Ion transport
YER113C	TMN3	GO:0006811	Protein with a role in cellular adhesion and filamentous growth	Ion transport
YER145C	FTR1	GO:0006811	High affinity iron permease	Ion transport
YFL041W	FET5	GO:0006811	Multicopper oxidase	Ion transport
YGL006W	PMC1	GO:0006811	Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions	Ion transport
YGL008C	PMA1	GO:0006811	Plasma membrane P2-type H+-ATPase	Ion transport
YGL160W	AIM14	GO:0006811	NADPH oxidase localized to the perinuclear ER	Ion transport
YAL009W	SPO7	GO:0006629	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme	Lipid metabolism
YAR035W	YAT1	GO:0006629	Outer mitochondrial carnitine acetyltransferase	Lipid metabolism
YBL011W	SCT1	GO:0006629	Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase	Lipid metabolism
YBR026C	ETR1	GO:0006629	2-enoyl thioester reductase	Lipid metabolism
YBR029C	CDS1	GO:0006629	Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase)	Lipid metabolism
YBR042C	CST26	GO:0006629	Acyltransferase	Lipid metabolism
YBR159W	IFA38	GO:0006629	Microsomal beta-keto-reductase	Lipid metabolism
YBR204C	LDH1	GO:0006629	Serine hydrolase	Lipid metabolism
YBR265W	TSC10	GO:0006629	3-ketosphinganine reductase	Lipid metabolism
YCL004W	PGS1	GO:0006629	Phosphatidylglycerolphosphate synthase	Lipid metabolism
YCL026C-A	FRM2	GO:0006629	"Type II nitroreductase, using NADH as reductant"	Lipid metabolism
YCR034W	ELO2	GO:0006629	"Fatty acid elongase, involved in sphingolipid biosynthesis"	Lipid metabolism
YCR068W	ATG15	GO:0006629	Phospholipase	Lipid metabolism
YDL015C	TSC13	GO:0006629	Enoyl reductase	Lipid metabolism
YDL052C	SLC1	GO:0006629	1-acyl-sn-glycerol-3-phosphate acyltransferase	Lipid metabolism
YDL109C	YDL109C	GO:0006629	Putative lipase	Lipid metabolism
YDL133W	SRF1	GO:0006629	Regulator of phospholipase D (Spo14p)	Lipid metabolism
YDL142C	CRD1	GO:0006629	Cardiolipin synthase	Lipid metabolism
YDL237W	AIM6	GO:0006629	Protein of unknown function	Lipid metabolism
YDR018C	YDR018C	GO:0006629	Probable membrane protein with three predicted transmembrane domains	Lipid metabolism
YDR058C	TGL2	GO:0006629	Triacylglycerol lipase that is localized to the mitochondria	Lipid metabolism
YDR062W	LCB2	GO:0006629	Component of serine palmitoyltransferase	Lipid metabolism
YDR123C	INO2	GO:0006629	Transcription factor	Lipid metabolism
YDR147W	EKI1	GO:0006629	Ethanolamine kinase	Lipid metabolism
YDR294C	DPL1	GO:0006629	Dihydrosphingosine phosphate lyase	Lipid metabolism
YDR297W	SUR2	GO:0006629	Sphinganine C4-hydroxylase	Lipid metabolism
YDR367W	KEI1	GO:0006629	Component of inositol phosphorylceramide (IPC) synthase	Lipid metabolism
YDR444W	YDR444W	GO:0006629	Putative hydrolase acting on ester bonds	Lipid metabolism
YER005W	YND1	GO:0006629	Apyrase with wide substrate specificity	Lipid metabolism
YER015W	FAA2	GO:0006629	Medium chain fatty acyl-CoA synthetase	Lipid metabolism
YER019W	ISC1	GO:0006629	Inositol phosphosphingolipid phospholipase C	Lipid metabolism
YER024W	YAT2	GO:0006629	Carnitine acetyltransferase	Lipid metabolism
YER026C	CHO1	GO:0006629	Phosphatidylserine synthase	Lipid metabolism
YER044C	ERG28	GO:0006629	Endoplasmic reticulum membrane protein	Lipid metabolism
YER061C	CEM1	GO:0006629	Mitochondrial beta-keto-acyl synthase	Lipid metabolism
YGL001C	ERG26	GO:0006629	C-3 sterol dehydrogenase	Lipid metabolism
YGL012W	ERG4	GO:0006629	C-24(28) sterol reductase	Lipid metabolism
YGL055W	OLE1	GO:0006629	Delta(9) fatty acid desaturase	Lipid metabolism
YGL126W	SCS3	GO:0006629	Protein required for inositol prototrophy	Lipid metabolism
YGL144C	ROG1	GO:0006629	Lipase with specificity for monoacylglycerol	Lipid metabolism
YGL205W	POX1	GO:0006629	Fatty-acyl coenzyme A oxidase	Lipid metabolism
YGR007W	ECT1	GO:0006629	Ethanolamine-phosphate cytidylyltransferase	Lipid metabolism
YGR046W	TAM41	GO:0006629	Mitochondrial phosphatidate cytidylyltransferase (CDP-DAG synthase)	Lipid metabolism
YGR060W	ERG25	GO:0006629	C-4 methyl sterol oxidase	Lipid metabolism
YGR157W	CHO2	GO:0006629	Phosphatidylethanolamine methyltransferase (PEMT)	Lipid metabolism
YGR170W	PSD2	GO:0006629	Phosphatidylserine decarboxylase of the Golgi and vacuolar membranes	Lipid metabolism
YGR202C	PCT1	GO:0006629	Cholinephosphate cytidylyltransferase	Lipid metabolism
YGR233C	PHO81	GO:0006629	Cyclin-dependent kinase (CDK) inhibitor	Lipid metabolism
YHL003C	LAG1	GO:0006629	Ceramide synthase component	Lipid metabolism
YHL020C	OPI1	GO:0006629	Transcriptional regulator of a variety of genes	Lipid metabolism
YBR154C	RPB5	GO:0006366	RNA polymerase subunit ABC27	Transcription
YBR198C	TAF5	GO:0006366	Subunit (90 kDa) of TFIID and SAGA complexes	Transcription
YCR042C	TAF2	GO:0006366	TFIID subunit (150 kDa)	Transcription
YDL074C	BRE1	GO:0006366	E3 ubiquitin ligase	Transcription
